skill,precision,recall,f1,tp,fp,fn
Playwright,0.000000,0.000000,0.000000,0,1,0
PostgreSQL,0.980000,0.089908,0.164706,49,1,496
Postman,0.000000,0.000000,0.000000,0,0,153
PowerShell,1.000000,0.076087,0.141414,7,0,85
Prometheus,0.773810,0.365169,0.496183,65,19,113
Pulumi,0.000000,0.000000,0.000000,0,0,109
Python,0.000000,0.000000,0.000000,0,2,0
R,0.900000,0.281250,0.428571,9,1,23
REST API Design,0.841379,0.288416,0.429577,244,46,602
RabbitMQ,1.000000,0.035088,0.067797,6,0,165
Rate Limiting,0.986486,0.439759,0.608333,73,1,93
Redis,0.750000,0.033708,0.064516,6,2,172
Redshift,0.000000,0.000000,0.000000,0,0,20
Regression Testing,0.947368,0.076596,0.141732,18,1,217
Ruby on Rails,0.000000,0.000000,0.000000,0,0,83
SAST,1.000000,0.016949,0.033333,2,0,116
SIEM,0.000000,0.000000,0.000000,0,0,24
SQL,0.161551,0.763359,0.266667,100,519,31
SQLite,1.000000,0.010989,0.021739,1,0,90
Scala,0.000000,0.000000,0.000000,0,0,29
Secure Code Review,0.558824,0.327586,0.413043,38,30,78
Selenium,0.000000,0.000000,0.000000,0,0,14
Smoke Testing,0.000000,0.000000,0.000000,0,0,46
Snowflake,0.000000,0.000000,0.000000,0,0,21
Splunk,0.000000,0.000000,0.000000,0,0,135
Spring Boot,0.000000,0.000000,0.000000,0,2,107
Stress Testing,0.125000,0.040000,0.060606,1,7,24
Swift,1.000000,0.084337,0.155556,7,0,76
TLS,0.583333,0.088608,0.153846,7,5,72
Terraform,0.611111,0.275000,0.379310,11,7,29
Test Case Design,0.740385,0.435028,0.548043,77,27,100
Test Planning,0.070470,0.512195,0.123894,21,277,20
Threat Modeling,0.287879,0.666667,0.402116,38,94,19
TypeScript,0.833333,0.263158,0.400000,5,1,14
UI Testing,0.761905,0.179775,0.290909,16,5,73
Unit Testing,0.000000,0.000000,0.000000,0,3,0
Vault,1.000000,0.023256,0.045455,1,0,42
Vulnerability Scanning,0.179104,0.452830,0.256684,48,220,58
Wireshark,1.000000,0.009524,0.018868,1,0,104
dbt,0.000000,0.000000,0.000000,0,0,78
gRPC,1.000000,0.050505,0.096154,5,0,94
