skill,precision,recall,f1,tp,fp,fn
GitHub Actions,0.927835,1.000000,0.962567,90,7,0
GitLab CI,0.000000,0.000000,0.000000,0,0,23
Go,1.000000,0.990566,0.995261,105,0,1
Google Cloud,0.285714,0.146341,0.193548,6,15,35
Grafana,0.816667,0.312102,0.451613,49,11,108
GraphQL,0.979167,1.000000,0.989474,94,2,0
Haskell,1.000000,0.030303,0.058824,1,0,32
Helm,0.000000,0.000000,0.000000,0,0,121
Identity and Access Management,0.134228,0.869565,0.232558,20,129,3
Incident Response,0.141905,0.993333,0.248333,149,901,1
InfluxDB,1.000000,0.047619,0.090909,3,0,60
Integration Testing,0.192982,0.215686,0.203704,11,46,40
JMeter,0.990000,0.900000,0.942857,99,1,11
JWT,0.781513,0.438679,0.561934,186,52,238
Jaeger,0.000000,0.000000,0.000000,0,0,56
Java,0.990385,0.895652,0.940639,103,1,12
JavaScript,0.130435,0.142857,0.136364,3,20,18
Jenkins,0.812500,0.144444,0.245283,13,3,77
Julia,1.000000,0.035714,0.068966,1,0,27
Key Management,0.333333,0.705882,0.452830,12,24,5
Kotlin,1.000000,1.000000,1.000000,94,0,0
Kubernetes,0.467153,0.331606,0.387879,64,73,129
Laravel,1.000000,0.160000,0.275862,12,0,63
Linux,0.654930,0.310000,0.420814,93,49,207
Load Testing,0.712000,0.809091,0.757447,89,36,21
Lua,0.000000,0.000000,0.000000,0,0,22
MATLAB,1.000000,0.027778,0.054054,1,0,35
Manual Testing,0.208333,0.172414,0.188679,5,19,24
Metasploit,0.000000,0.000000,0.000000,0,0,93
Microservices,0.471023,0.779592,0.587241,382,429,108
MongoDB,0.970297,1.000000,0.984925,98,3,0
Multi-Factor Authentication,0.255814,0.733333,0.379310,11,32,4
MySQL,0.550000,0.146667,0.231579,11,9,64
NATS,0.000000,0.000000,0.000000,0,0,19
Neo4j,1.000000,0.129032,0.228571,8,0,54
NestJS,0.000000,0.000000,0.000000,0,0,48
Network Security,0.452145,0.889610,0.599562,137,166,17
Nginx,1.000000,0.056604,0.107143,3,0,50
Nmap,1.000000,0.119658,0.213740,14,0,103
Node.js,0.991935,0.574766,0.727811,123,1,91
OAuth 2.0,0.458699,0.825949,0.589831,261,308,55
OWASP Top 10,0.983193,0.879699,0.928571,117,2,16
OpenAPI Specification,0.696970,0.099567,0.174242,23,10,208
OpenTelemetry,0.857143,0.101695,0.181818,6,1,53
PHP,1.000000,1.000000,1.000000,75,0,0
PKI,1.000000,0.020408,0.040000,1,0,48
Parquet,1.000000,0.026217,0.051095,7,0,260
Penetration Testing,0.885714,1.000000,0.939394,93,12,0
Performance Testing,0.239651,1.000000,0.386643,110,349,0
Perl,0.000000,0.000000,0.000000,0,0,19
Playwright,1.000000,0.940594,0.969388,95,0,6
PostgreSQL,0.982759,0.103261,0.186885,57,1,495
Postman,0.000000,0.000000,0.000000,0,4,153
PowerShell,1.000000,0.275229,0.431655,30,0,79
Prometheus,0.808081,0.414508,0.547945,80,19,113
Pulumi,0.000000,0.000000,0.000000,0,0,109
Python,0.993464,1.000000,0.996721,304,2,0
R,0.833333,0.441176,0.576923,15,3,19
REST API Design,0.844523,0.552601,0.668064,478,88,387
RabbitMQ,1.000000,0.159794,0.275556,31,0,163
Rate Limiting,0.915094,0.584337,0.713235,97,9,69
Redis,0.750000,0.033708,0.064516,6,2,172
Redshift,0.000000,0.000000,0.000000,0,0,20
Regression Testing,0.833333,0.252918,0.388060,65,13,192
Ruby,1.000000,1.000000,1.000000,91,0,0
Ruby on Rails,1.000000,0.087912,0.161616,8,0,83
Rust,1.000000,1.000000,1.000000,108,0,0
SAST,1.000000,0.141791,0.248366,19,0,115
SIEM,1.000000,0.823529,0.903226,112,0,24
SQL,0.439457,0.933481,0.597587,421,537,30
SQLite,1.000000,0.021978,0.043011,2,0,89
Scala,1.000000,0.033333,0.064516,1,0,29
Secure Code Review,0.693878,0.586207,0.635514,68,30,48
Selenium,0.000000,0.000000,0.000000,0,0,14
Smoke Testing,0.000000,0.000000,0.000000,0,2,46
Snowflake,0.000000,0.000000,0.000000,0,1,21
Splunk,1.000000,0.007407,0.014706,1,0,134
Spring Boot,0.875000,0.115702,0.204380,14,2,107
Stress Testing,0.222222,0.160000,0.186047,4,14,21
Swift,1.000000,0.276596,0.433333,26,0,68
TLS,0.450000,0.113924,0.181818,9,11,70
Terraform,0.949640,0.830189,0.885906,132,7,27
Test Case Design,0.527607,0.485876,0.505882,86,77,91
Test Planning,0.083333,0.634146,0.147309,26,286,15
Threat Modeling,0.287879,0.666667,0.402116,38,94,19
TypeScript,0.833333,0.263158,0.400000,5,1,14
UI Testing,0.918033,0.554455,0.691358,56,5,45
Unit Testing,0.974359,1.000000,0.987013,114,3,0
Vault,1.000000,0.023256,0.045455,1,0,42
Vulnerability Scanning,0.177665,0.660377,0.280000,70,324,36
Wireshark,1.000000,0.009524,0.018868,1,0,104
dbt,1.000000,0.195876,0.327586,19,0,78
gRPC,1.000000,0.060606,0.114286,6,0,93
